,LegitCount,MI,SpamCount,Term
41839,204.0,1.1315869821118951,75.0,home
16937,143.0,1.1313434065200745,77.0,service
26293,55.0,1.1261729117764645,78.0,company
38910,375.0,1.1192371930096732,66.0,place
23679,19.0,1.1188660780956805,77.0,click
25092,576.0,1.1101212133480116,53.0,form
20411,277.0,1.1061004590167185,70.0,request
7906,278.0,1.093410085067413,69.0,read
29002,353.0,1.090803824011813,65.0,within
13405,81.0,1.0708513529473134,74.0,ever
14296,739.0,1.0707464536998297,38.0,word
38834,163.0,1.0702700282200497,72.0,price
24420,62.0,1.0686191657779112,74.0,easy
18931,404.0,1.0504740624344902,59.0,must
4698,158.0,1.040324707555014,70.0,right
39333,107.0,1.0345549170783088,71.0,cost
43615,552.0,1.030083077567763,48.0,provide
11179,316.0,1.026130546084405,62.0,type
5415,107.0,1.0204476359026775,70.0,hour
34165,508.0,1.0187434217326126,50.0,system
13357,605.0,1.014317674676764,43.0,contact
34483,492.0,1.0059432395910266,50.0,copy
16701,140.0,1.0046649920912112,68.0,reply
38228,618.0,1.001764805066958,41.0,page
16202,317.0,1.0007416602425645,60.0,through
42899,224.0,0.9934598629390571,64.0,wish
33473,142.0,0.9916310471878566,67.0,back
24131,305.0,0.9794249068942742,59.0,full
12504,264.0,0.9782863780678872,61.0,help
40316,99.0,0.9756764826944572,67.0,month
29730,312.0,0.9712506929707064,58.0,after
10758,340.0,0.9652424990224192,56.0,computer
1634,260.0,0.9624612726178579,60.0,show
6284,793.0,0.9538738892352508,23.0,research
6708,164.0,0.9467727177427344,63.0,tell
23786,508.0,0.93383396725292,43.0,write
1191,501.0,0.9160675500432776,42.0,further
31176,18.0,0.9144092589956601,63.0,sell
16892,150.0,0.9123671892266552,61.0,great
37462,433.0,0.9098538876808048,46.0,those
33817,22.0,0.8984005480291165,62.0,million
12927,25.0,0.8975553314486812,62.0,save
22072,417.0,0.8972228618792293,46.0,different
20666,110.0,0.8950094179852421,61.0,keep
25921,700.0,0.8813758718444422,24.0,paper
10211,182.0,0.874651562898376,57.0,city
32078,506.0,0.8724309281163948,38.0,base
1986,401.0,0.8722699854856931,45.0,part
4731,491.0,0.8718864781445441,39.0,process
19265,31.0,0.8672206537012788,60.0,purchase
18918,110.0,0.8670391825408343,59.0,never
25650,253.0,0.8655632998369165,53.0,require
30309,136.0,0.8643361765780523,58.0,card
28605,306.0,0.8635759381028374,50.0,same
8424,112.0,0.8538655519435608,58.0,next
18263,102.0,0.8500341143511481,58.0,simply
6213,871.0,0.8371718001641866,3.0,english
18221,202.0,0.8326807071412841,53.0,report
24956,496.0,0.8285915898902474,35.0,both
24317,146.0,0.8279800106169691,55.0,plus
40467,520.0,0.8254238742840482,33.0,area
24858,46.0,0.82304000194839,57.0,online
14555,159.0,0.8211713769531024,54.0,visit
22435,600.0,0.8148628284233788,26.0,between
32229,143.0,0.8127497437523956,54.0,again
8168,568.0,0.8093233749957971,28.0,book
11092,104.0,0.8088252101289164,55.0,simple
41622,383.0,0.8086338819980071,41.0,note
1783,82.0,0.8011470549494641,55.0,live
41350,306.0,0.7996240755708067,45.0,learn
31186,182.0,0.793746878107006,51.0,letter
1488,347.0,0.7928784520388917,42.0,accept
40082,108.0,0.7825763309432345,53.0,once
8930,291.0,0.7757940011231923,44.0,date
10718,289.0,0.7743220065945127,44.0,result
2658,401.0,0.7740883105496692,37.0,possible
34458,265.0,0.7697447617210905,45.0,anyone
28458,365.0,0.7697285862891461,39.0,html
13431,68.0,0.769028428248392,53.0,credit
39919,153.0,0.7635120299561975,50.0,code
7457,306.0,0.7615663309873835,42.0,change
39184,384.0,0.7603617007156489,37.0,detail
32370,679.0,0.7581870193158474,14.0,study
725,283.0,0.7571417092030427,43.0,above
21973,141.0,0.7570092663150612,50.0,future
5846,106.0,0.7539240610768911,51.0,life
10980,22.0,0.7525338699957861,52.0,guarantee
2138,23.0,0.7523063861444059,52.0,thousand
32969,211.0,0.7455257917612594,46.0,without
11222,255.0,0.7368059621812874,43.0,experience
13027,215.0,0.7350387760237109,45.0,major
